Address,Lat,Lon,Status,Status_Update_Time,Score
"De Huesmolen, Albert Heijn, De Huesmolen 2, 1625 HZ Hoorn, Netherlands",52.6575558,5.055742,1,2024-04-29 14:30:00,1
"Grote Noord, 1621 KL Hoorn, Netherlands",52.6413824,5.0561433,1,2024-04-29 14:30:00,1
"Albert Heijn, Stan Kentonhof 88, 1628 TR Hoorn, Netherlands",52.6532823,5.0985484,1,2024-04-29 14:30:00,1
"Albert Heijn, Van Dedemstraat 19, 1624 NN Hoorn, Netherlands",52.6461882,5.0515436,1,2024-04-29 14:30:00,1
"Albert Heijn, Steenstraat 11, 5961 ET Horst, Netherlands",51.4531167,6.0527265,1,2024-04-29 14:30:00,1
"Albert Heijn, Cardo 12, 3995 XM Houten, Netherlands",52.0170652,5.1781647,1,2024-04-29 14:30:00,1
"Albert Heijn, Lindenlaan 10, 1271 BA Huizen, Netherlands",52.2971621,5.2350408,1,2024-04-29 14:30:00,1
"Albert Heijn, Oostermeent-Zuid 48, 1274 SV Huizen, Netherlands",52.2944747,5.2630588,1,2024-04-29 14:30:00,1
"Albert Heijn XL, Stationsplein 17, 4561 GC Hulst, Netherlands",51.2765956,4.0444992,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Begoniastraat 12, 6014 BJ Ittervoort, Netherlands",51.1711444,5.819108,1,2024-04-29 14:30:00,1
"Albert Heijn, Sinnebuorren 28, 8501 CB Joure, Netherlands",52.9666954,5.7987658,1,2024-04-29 14:30:00,1
"Albert Heijn, Schoolweg 15, 1787 AV Julianadorp, Netherlands",52.8983247,4.7538929,1,2024-04-29 14:30:00,1
